1:  25¡Â33x4/57=100/1881
2:  65x(32+60)=5980
3:  (63¡Â88)/39x98=1¡¯457/572
4:  9+46+44=99
5:  61/85¡Â12+82=82¡¯61/1020
6:  28-9+52/38=20¡¯7/19
7:  43¡Â81x68/8=4¡¯83/162
8:  (91/67+34)/79x92/34=1¡¯18993/89981
9:  77-40+75=112
10:  45/19¡Â(31x25)=9/2945
11:  (90¡Â46)/93¡Â92=15/65596
12:  (55¡Â9)/62¡Â26=55/14508
13:  60+(49/47+45)=106¡¯2/47
14:  30-(50¡Â78)=29¡¯14/39
15:  82¡Â(52¡Â20)=31¡¯7/13
16:  9+81x74/85=79¡¯44/85
17:  6+20+70/11=32¡¯4/11
18:  (68/69¡Â32)+81=81¡¯17/552
19:  (54¡Â95)x100/45=1¡¯5/19
20:  28¡Â(32/2+20)=7/9
21:  (79¡Â96)¡Â10/42=3¡¯73/160
22:  (72¡Â69)x66/23=2¡¯526/529
23:  10-(73¡Â13)=4¡¯5/13
24:  50x(49+39)=4400
25:  44/4x5/47¡Â17=55/799
26:  14¡Â(98-50)=7/24
27:  53x(36x53)/19=5322¡¯6/19
28:  37x47x3/53=98¡¯23/53
29:  (16+30)+55=101
30:  (85x71)+73=6108
31:  15/57¡Â23x86=430/437
32:  (52x77)-4=4000
33:  13x55-49=666
34:  (86+51)x33=4521
35:  53¡Â(57¡Â82)=76¡¯14/57
36:  61x34-19/53=2073¡¯34/53
37:  62¡Â47x84=110¡¯38/47
38:  57+78+75=210
39:  64+31¡Â33=64¡¯31/33
40:  41x36x71=104796
41:  (32¡Â41)/11¡Â16=2/451
42:  7x52/52+52=59
43:  52+(11¡Â58)/12=52¡¯11/696
44:  (35x3)¡Â7=15
45:  95/30+(43x53)=2282¡¯1/6
46:  74+(70¡Â55)=75¡¯3/11
47:  (56+81)/47x47=137
48:  (29+64)+63=156
49:  (95-43)/34x81=123¡¯15/17
50:  69/40x(31¡Â55)=2139/2200
51:  (9¡Â26)¡Â76=9/1976
52:  50/89+(21/56¡Â19)=7867/13528
53:  36+67x5/50=42¡¯7/10
54:  90x(79-58)=1890
55:  100/78x(64x71)=5825¡¯25/39
56:  (96¡Â51)x98=184¡¯8/17
57:  60/26+(67x95)=6367¡¯4/13
58:  87x26+23=2285
59:  (66x38)-9=2499
60:  63¡Â(5¡Â84)/48=50803¡¯1/5
61:  96/60+(73¡Â47)=3¡¯36/235
62:  22x81-21/95=1781¡¯74/95
63:  35/83¡Â(70x1)=1/166
64:  55+(57¡Â1)=112
65:  16¡Â(92¡Â68)=11¡¯19/23
66:  74+46¡Â67=74¡¯46/67
67:  89-(54+72)/8=73¡¯1/4
68:  10+(19¡Â87)=10¡¯19/87
69:  33+(72¡Â73)/92=33¡¯18/1679
70:  39+23-49=13
71:  (46x83)x20=76360
72:  (75-45)+26/81=30¡¯26/81
73:  1x(60x99)=5940
74:  91-88+73=76
75:  (77¡Â93)/66¡Â85=7/47430
76:  (48¡Â1)-43/14=44¡¯13/14
77:  48/54+63¡Â70/82=74¡¯31/45
78:  (53¡Â66)¡Â57=53/3762
79:  7+(24¡Â92)=7¡¯6/23
80:  100¡Â(40¡Â22)/1=55
81:  (69-61)¡Â48=1/6
82:  57¡Â(8+99)=57/107
83:  67+(100¡Â37)=69¡¯26/37
84:  27¡Â73¡Â62=27/4526
85:  89¡Â(27¡Â46)=151¡¯17/27
86:  98+89x95/3=2916¡¯1/3
87:  21¡Â(35/37x12)=1¡¯17/20
88:  (42x34)¡Â85=16¡¯4/5
89:  (64x59)-17=3759
90:  66+47¡Â17=68¡¯13/17
91:  (25¡Â55)/2x57=12¡¯21/22
92:  69¡Â15+37=41¡¯3/5
93:  50x56¡Â89=31¡¯41/89
94:  24/94x57+48=62¡¯26/47
95:  53+(59/71+81)=134¡¯59/71
96:  (93x59)+12/97=5487¡¯12/97
97:  (97/7¡Â51)x95/84=9215/29988
98:  (34¡Â5)x64=435¡¯1/5
99:  (69+93)x100=16200
100:  93¡Â(50/8x46)=186/575
101:  (57/3-13)+7=13
102:  89+40/33-55=35¡¯7/33
103:  (20+11)x74=2294
104:  55x26x84=120120
105:  (79-17)/73x13=11¡¯3/73
106:  (51-37)/94x61=9¡¯4/47
107:  (44x76)-27/40=3343¡¯13/40
108:  (8/10x71)-43=13¡¯4/5
109:  (21x65)-47=1318
