1:  25¡Â33x4/57=
2:  65x(32+60)=
3:  (63¡Â88)/39x98=
4:  9+46+44=
5:  61/85¡Â12+82=
6:  28-9+52/38=
7:  43¡Â81x68/8=
8:  (91/67+34)/79x92/34=
9:  77-40+75=
10:  45/19¡Â(31x25)=
11:  (90¡Â46)/93¡Â92=
12:  (55¡Â9)/62¡Â26=
13:  60+(49/47+45)=
14:  30-(50¡Â78)=
15:  82¡Â(52¡Â20)=
16:  9+81x74/85=
17:  6+20+70/11=
18:  (68/69¡Â32)+81=
19:  (54¡Â95)x100/45=
20:  28¡Â(32/2+20)=
21:  (79¡Â96)¡Â10/42=
22:  (72¡Â69)x66/23=
23:  10-(73¡Â13)=
24:  50x(49+39)=
25:  44/4x5/47¡Â17=
26:  14¡Â(98-50)=
27:  53x(36x53)/19=
28:  37x47x3/53=
29:  (16+30)+55=
30:  (85x71)+73=
31:  15/57¡Â23x86=
32:  (52x77)-4=
33:  13x55-49=
34:  (86+51)x33=
35:  53¡Â(57¡Â82)=
36:  61x34-19/53=
37:  62¡Â47x84=
38:  57+78+75=
39:  64+31¡Â33=
40:  41x36x71=
41:  (32¡Â41)/11¡Â16=
42:  7x52/52+52=
43:  52+(11¡Â58)/12=
44:  (35x3)¡Â7=
45:  95/30+(43x53)=
46:  74+(70¡Â55)=
47:  (56+81)/47x47=
48:  (29+64)+63=
49:  (95-43)/34x81=
50:  69/40x(31¡Â55)=
51:  (9¡Â26)¡Â76=
52:  50/89+(21/56¡Â19)=
53:  36+67x5/50=
54:  90x(79-58)=
55:  100/78x(64x71)=
56:  (96¡Â51)x98=
57:  60/26+(67x95)=
58:  87x26+23=
59:  (66x38)-9=
60:  63¡Â(5¡Â84)/48=
61:  96/60+(73¡Â47)=
62:  22x81-21/95=
63:  35/83¡Â(70x1)=
64:  55+(57¡Â1)=
65:  16¡Â(92¡Â68)=
66:  74+46¡Â67=
67:  89-(54+72)/8=
68:  10+(19¡Â87)=
69:  33+(72¡Â73)/92=
70:  39+23-49=
71:  (46x83)x20=
72:  (75-45)+26/81=
73:  1x(60x99)=
74:  91-88+73=
75:  (77¡Â93)/66¡Â85=
76:  (48¡Â1)-43/14=
77:  48/54+63¡Â70/82=
78:  (53¡Â66)¡Â57=
79:  7+(24¡Â92)=
80:  100¡Â(40¡Â22)/1=
81:  (69-61)¡Â48=
82:  57¡Â(8+99)=
83:  67+(100¡Â37)=
84:  27¡Â73¡Â62=
85:  89¡Â(27¡Â46)=
86:  98+89x95/3=
87:  21¡Â(35/37x12)=
88:  (42x34)¡Â85=
89:  (64x59)-17=
90:  66+47¡Â17=
91:  (25¡Â55)/2x57=
92:  69¡Â15+37=
93:  50x56¡Â89=
94:  24/94x57+48=
95:  53+(59/71+81)=
96:  (93x59)+12/97=
97:  (97/7¡Â51)x95/84=
98:  (34¡Â5)x64=
99:  (69+93)x100=
100:  93¡Â(50/8x46)=
101:  (57/3-13)+7=
102:  89+40/33-55=
103:  (20+11)x74=
104:  55x26x84=
105:  (79-17)/73x13=
106:  (51-37)/94x61=
107:  (44x76)-27/40=
108:  (8/10x71)-43=
109:  (21x65)-47=
110:  53x26-31=
111:  97+17-48=
112:  90-(34/81+15)=
113:  13x(24¡Â36)/29=
114:  97-21-3=
115:  (18/10x77)+29=
116:  (60/61¡Â22)¡Â99/20=
117:  75-(65x16)/54=
118:  (95/57x81)¡Â22=
119:  99x(77¡Â45)=
120:  46¡Â44x88=
121:  (74+58)¡Â10=
122:  62+14+13=
123:  (36x38)+49=
124:  11+99¡Â92=
125:  68+68-45/67=
126:  58-(70¡Â84)=
127:  (65-60)¡Â94=
128:  24+88-54=
129:  74¡Â7+35=
130:  19x90+59/48=
131:  7¡Â61¡Â19=
132:  39x65¡Â72=
133:  50¡Â(47-5)=
134:  98/47¡Â66/87¡Â3=
135:  18x(95+45)/24=
136:  (64/23+13)+46=
137:  89x(6/93¡Â33)/36=
138:  (16/26¡Â84)+46=
139:  9+(100+8)=
140:  11/26¡Â(93+93)=
141:  (51-32)x17=
142:  87/91x(21¡Â72)=
143:  36+73x52=
144:  56/50x10¡Â67=
145:  95/80+(16¡Â62)=
146:  100x(47x11)=
147:  16-16/66x3=
148:  (71+91)x77=
